HourDK;TotalCon
01-01-2020 00:00;71745
01-01-2020 01:00;69178
01-01-2020 02:00;66507
01-01-2020 03:00;63600
01-01-2020 04:00;61401
01-01-2020 05:00;60767
01-01-2020 06:00;61615
01-01-2020 07:00;63114
01-01-2020 08:00;67394
01-01-2020 09:00;73553
01-01-2020 10:00;77624
01-01-2020 11:00;78582
01-01-2020 12:00;77365
01-01-2020 13:00;75150
01-01-2020 14:00;75578
01-01-2020 15:00;77775
01-01-2020 16:00;83791
01-01-2020 17:00;93124
01-01-2020 18:00;91944
01-01-2020 19:00;86260
01-01-2020 20:00;81033
01-01-2020 21:00;76048
01-01-2020 22:00;70672
01-01-2020 23:00;65880
02-01-2020 00:00;62591
02-01-2020 01:00;60431
02-01-2020 02:00;59763
02-01-2020 03:00;59662
02-01-2020 04:00;60766
02-01-2020 05:00;63785
02-01-2020 06:00;69902
02-01-2020 07:00;74584
02-01-2020 08:00;78824
02-01-2020 09:00;82704
02-01-2020 10:00;83216
02-01-2020 11:00;82853
02-01-2020 12:00;81997
02-01-2020 13:00;80729
02-01-2020 14:00;80553
02-01-2020 15:00;81704
02-01-2020 16:00;87964
02-01-2020 17:00;99289
02-01-2020 18:00;97640
02-01-2020 19:00;90736
02-01-2020 20:00;83774
02-01-2020 21:00;78205
02-01-2020 22:00;72837
02-01-2020 23:00;66899
03-01-2020 00:00;62701
03-01-2020 01:00;60302
03-01-2020 02:00;59384
03-01-2020 03:00;59176
03-01-2020 04:00;59459
03-01-2020 05:00;61814
03-01-2020 06:00;67362
03-01-2020 07:00;71632
03-01-2020 08:00;74278
03-01-2020 09:00;76786
03-01-2020 10:00;76108
03-01-2020 11:00;74059
03-01-2020 12:00;71989
03-01-2020 13:00;71051
03-01-2020 14:00;71672
03-01-2020 15:00;74752
03-01-2020 16:00;82110
03-01-2020 17:00;93749
03-01-2020 18:00;92653
03-01-2020 19:00;85985
03-01-2020 20:00;79531
03-01-2020 21:00;74930
03-01-2020 22:00;70970
03-01-2020 23:00;66565
04-01-2020 00:00;62965
04-01-2020 01:00;60828
04-01-2020 02:00;59811
04-01-2020 03:00;60010
04-01-2020 04:00;60301
04-01-2020 05:00;61651
04-01-2020 06:00;64354
04-01-2020 07:00;70162
04-01-2020 08:00;79047
04-01-2020 09:00;86467
04-01-2020 10:00;84917
04-01-2020 11:00;79228
04-01-2020 12:00;74599
04-01-2020 13:00;72816
04-01-2020 14:00;73672
04-01-2020 15:00;77865
04-01-2020 16:00;86581
04-01-2020 17:00;98516
04-01-2020 18:00;97694
04-01-2020 19:00;91211
04-01-2020 20:00;85139
04-01-2020 21:00;81155
04-01-2020 22:00;77671
04-01-2020 23:00;74637
05-01-2020 00:00;71700
05-01-2020 01:00;69466
05-01-2020 02:00;68776
05-01-2020 03:00;68661
05-01-2020 04:00;68923
05-01-2020 05:00;69554
05-01-2020 06:00;71848
